Estado;Regiao;Municipio;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_Presencial;DPU_Remoto
PARANA;SUL;SERTANOPOLIS_PR;LONDRINA;SIM;SIM;SIM
SAO PAULO;SUDESTE;SARAPUI_SP;SOROCABA;SIM;SIM;SIM
PERNAMBUCO;NORDESTE;FERNANDO DE NORONHA_PE;RECIFE;SIM;SIM;SIM
SAO PAULO;SUDESTE;ALAMBARI_SP;SOROCABA;SIM;SIM;SIM
SAO PAULO;SUDESTE;PORTO FELIZ_SP;SOROCABA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;BELO HORIZONTE_MG;BELO HORIZONTE;SIM;SIM;SIM
ESPIRITO SANTO;SUDESTE;VITORIA_ES;VITORIA;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;SAO SEPE_RS;SANTA MARIA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;PEDRO LEOPOLDO_MG;BELO HORIZONTE;SIM;SIM;SIM
SANTA CATARINA;SUL;ORLEANS_SC;CRICIUMA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;BARAO DE COCAIS_MG;BELO HORIZONTE;SIM;SIM;SIM
SANTA CATARINA;SUL;ICARA_SC;CRICIUMA;SIM;SIM;SIM
SANTA CATARINA;SUL;ARARANGUA_SC;CRICIUMA;SIM;SIM;SIM
PARANA;SUL;RIO NEGRO_PR;CURITIBA;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;SERTAO_RS;SANTA ROSA;SIM;SIM;SIM
SAO PAULO;SUDESTE;TAIUVA_SP;RIBEIRAO PRETO;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;ARROIO DO PADRE_RS;BENTO GONCALVES;SIM;SIM;SIM
SAO PAULO;SUDESTE;HORTOLANDIA_SP;CAMPINAS;SIM;SIM;SIM
SAO PAULO;SUDESTE;VIRADOURO_SP;RIBEIRAO PRETO;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;SILVEIRA MARTINS_RS;SANTA ROSA;SIM;SIM;SIM
SAO PAULO;SUDESTE;SANTO ANDRE_SP;SANTO ANDRE;SIM;SIM;SIM
SAO PAULO;SUDESTE;CESARIO LANGE_SP;SOROCABA;SIM;SIM;SIM
SAO PAULO;SUDESTE;CAMPINAS_SP;CAMPINAS;SIM;SIM;SIM
MATO GROSSO;CENTRO-OESTE;SAPEZAL_MT;MATO GROSSO;SIM;SIM;SIM
SAO PAULO;SUDESTE;OSASCO_SP;OSASCO;SIM;SIM;SIM
SAO PAULO;SUDESTE;PEDREIRA_SP;CAMPINAS;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;MONTE CARMELO_MG;UBERLANDIA;SIM;SIM;SIM
TOCANTINS;NORTE;PARAISO DO TOCANTINS_TO;PALMAS;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;LAGOA SANTA_MG;BELO HORIZONTE;SIM;SIM;SIM
MATO GROSSO DO SUL;CENTRO-OESTE;PARAISO DAS AGUAS_MS;CAMPO GRANDE;SIM;SIM;SIM
PARANA;SUL;CIDADE GAUCHA_PR;UMUARAMA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;QUELUZITO_MG;BELO HORIZONTE;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;TRIUNFO_RS;SANTIAGO;SIM;SIM;SIM
SANTA CATARINA;SUL;SIDEROPOLIS_SC;CRICIUMA;SIM;SIM;SIM
SAO PAULO;SUDESTE;ORLANDIA_SP;RIBEIRAO PRETO;SIM;SIM;SIM
SAO PAULO;SUDESTE;RIBEIRAO PRETO_SP;RIBEIRAO PRETO;SIM;SIM;SIM
RIO DE JANEIRO;SUDESTE;RESENDE_RJ;RESENDE;SIM;SIM;SIM
SAO PAULO;SUDESTE;SALTO_SP;SOROCABA;SIM;SIM;SIM
SANTA CATARINA;SUL;SAO JOSE_SC;FLORIANOPOLIS;SIM;SIM;SIM
RIO DE JANEIRO;SUDESTE;PORTO REAL_RJ;RESENDE;SIM;SIM;SIM
SAO PAULO;SUDESTE;TATUI_SP;SOROCABA;SIM;SIM;SIM
SAO PAULO;SUDESTE;BOITUVA_SP;SOROCABA;SIM;SIM;SIM
ESPIRITO SANTO;SUDESTE;LINHARES_ES;LINHARES;SIM;SIM;SIM
MATO GROSSO DO SUL;CENTRO-OESTE;ITAPORA_MS;DOURADOS;SIM;SIM;SIM
SAO PAULO;SUDESTE;SAO JOAO DE IRACEMA_SP;JALES;SIM;SIM;SIM
SAO PAULO;SUDESTE;TERRA ROXA_SP;RIBEIRAO PRETO;SIM;SIM;SIM
SANTA CATARINA;SUL;FLORIANOPOLIS_SC;FLORIANOPOLIS;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;MONTENEGRO_RS;NOVO HAMBURGO;SIM;SIM;SIM
SAO PAULO;SUDESTE;SOROCABA_SP;SOROCABA;SIM;SIM;SIM
PARANA;SUL;CORBELIA_PR;CASCAVEL;SIM;SIM;SIM
SAO PAULO;SUDESTE;AURIFLAMA_SP;JALES;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;INDIANOPOLIS_MG;UBERLANDIA;SIM;SIM;SIM
SAO PAULO;SUDESTE;PALMEIRA D'OESTE_SP;JALES;SIM;SIM;SIM
SAO PAULO;SUDESTE;SAO FRANCISCO_SP;JALES;SIM;SIM;SIM
SAO PAULO;SUDESTE;ESTRELA D'OESTE_SP;JALES;SIM;SIM;SIM
SAO PAULO;SUDESTE;JALES_SP;JALES;SIM;SIM;SIM
SAO PAULO;SUDESTE;VALINHOS_SP;CAMPINAS;SIM;SIM;SIM
SANTA CATARINA;SUL;CRICIUMA_SC;CRICIUMA;SIM;SIM;SIM
SANTA CATARINA;SUL;GARUVA_SC;JOINVILLE;SIM;SIM;SIM
SANTA CATARINA;SUL;RANCHO QUEIMADO_SC;FLORIANOPOLIS;SIM;SIM;SIM
SANTA CATARINA;SUL;LAURO MULLER_SC;CRICIUMA;SIM;SIM;SIM
SAO PAULO;SUDESTE;TAQUARAL_SP;RIBEIRAO PRETO;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;HARMONIA_RS;GRAVATAI;SIM;SIM;SIM
PARANA;SUL;DOURADINA_PR;UMUARAMA;SIM;SIM;SIM
PARANA;SUL;CEU AZUL_PR;FOZ DO IGUACU;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;SAO VALENTIM DO SUL_RS;SANTA MARIA;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;BROCHIER_RS;CAPAO DA CANOA;SIM;SIM;SIM
PARANA;SUL;SAO JORGE DO IVAI_PR;UMUARAMA;SIM;SIM;SIM
SANTA CATARINA;SUL;SANTO AMARO DA IMPERATRIZ_SC;FLORIANOPOLIS;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;SAO JOSE DO SUL_RS;SANTA CRUZ DO SUL;SIM;SIM;SIM
PARANA;SUL;ENTRE RIOS DO OESTE_PR;FOZ DO IGUACU;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;BARAO_RS;BENTO GONCALVES;SIM;SIM;SIM
PARANA;SUL;MEDIANEIRA_PR;FOZ DO IGUACU;SIM;SIM;SIM
SANTA CATARINA;SUL;SAO FRANCISCO DO SUL_SC;JOINVILLE;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;ARAPORA_MG;UBERLANDIA;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;PARECI NOVO_RS;PALMEIRA DAS MISSOES;SIM;SIM;SIM
SAO PAULO;SUDESTE;URANIA_SP;JALES;SIM;SIM;SIM
SAO PAULO;SUDESTE;SAO BERNARDO DO CAMPO_SP;SAO BERNARDO DO CAMPO;SIM;SIM;SIM
SANTA CATARINA;SUL;SAO PEDRO DE ALCANTARA_SC;FLORIANOPOLIS;SIM;SIM;SIM
SAO PAULO;SUDESTE;SALES OLIVEIRA_SP;RIBEIRAO PRETO;SIM;SIM;SIM
SAO PAULO;SUDESTE;SANTA FE DO SUL_SP;JALES;SIM;SIM;SIM
SANTA CATARINA;SUL;JOINVILLE_SC;JOINVILLE;SIM;SIM;SIM
PARANA;SUL;CURITIBA_PR;CURITIBA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;CONSELHEIRO LAFAIETE_MG;BELO HORIZONTE;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;CONFINS_MG;BELO HORIZONTE;SIM;SIM;SIM
MATO GROSSO;CENTRO-OESTE;NOVA UBIRATA_MT;MATO GROSSO;SIM;SIM;SIM
SAO PAULO;SUDESTE;HOLAMBRA_SP;CAMPINAS;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;ITABIRA_MG;BELO HORIZONTE;SIM;SIM;SIM
SANTA CATARINA;SUL;ANTONIO CARLOS_SC;FLORIANOPOLIS;SIM;SIM;SIM
PARANA;SUL;CORNELIO PROCOPIO_PR;LONDRINA;SIM;SIM;SIM
RIO DE JANEIRO;SUDESTE;MARICA_RJ;NITEROI;SIM;SIM;SIM
SAO PAULO;SUDESTE;OUROESTE_SP;JALES;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;SAO PEDRO DA SERRA_RS;SANTA MARIA;SIM;SIM;SIM
SANTA CATARINA;SUL;TURVO_SC;CRICIUMA;SIM;SIM;SIM
