cod. ibge;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH
4300471;Almirante Tamandaré do Sul;324;746;37,90%;-;-;-;-;-;-;-
5200506;Aloândia;526;1.246;63,20%;0,252;0,374;0,112;0,043;0,612;0,294;0,076
3101805;Alpercata;2.281;4.842;70,10%;0,287;0,35;0,078;0,06;0,689;0,424;0,119
4300505;Alpestre;855;2.135;30,00%;0,277;0,336;0,078;0,042;0,674;0,286;0,246
3101904;Alpinópolis;2.535;6.835;37,30%;0,255;0,371;0,112;0,044;0,647;0,273;0,082
5100250;Alta Floresta;10.777;25.004;42,70%;0,288;0,454;0,111;0,049;0,614;0,347;0,153
1100015;Alta Floresta D'Oeste;4.773;12.188;56,70%;0,296;0,402;0,137;0,053;0,666;0,28;0,236
3500907;Altair;704;1.511;43,80%;0,258;0,392;0,06;0,035;0,6;0,34;0,118
1500602;Altamira;31.230;76.699;60,70%;0,311;0,405;0,115;0,067;0,65;0,422;0,206
2100402;Altamira do Maranhão;2.320;4.992;77,40%;0,299;0,323;0,081;0,06;0,649;0,503;0,175
4100459;Altamira do Paraná;900;2.226;62,00%;0,246;0,336;0,09;0,021;0,62;0,29;0,118
2300606;Altaneira;3.105;6.902;101,80%;0,268;0,283;0,051;0,027;0,645;0,473;0,13
3102001;Alterosa;2.507;6.103;43,90%;0,277;0,358;0,094;0,071;0,671;0,363;0,107
2600807;Altinho;7.790;15.000;72,60%;0,288;0,248;0,052;0,041;0,746;0,491;0,149
3501004;Altinópolis;3.271;7.541;44,80%;0,28;0,375;0,054;0,056;0,642;0,453;0,098
1400050;Alto Alegre;4.712;12.134;57,50%;0,311;0,399;0,133;0,058;0,605;0,403;0,27
3501103;Alto Alegre;730;1.603;41,70%;0,277;0,362;0,063;0,023;0,665;0,462;0,088
4300554;Alto Alegre;295;627;34,80%;0,259;0,36;0,055;0,066;0,608;0,337;0,13
2100436;Alto Alegre do Maranhão;6.649;17.041;70,90%;0,302;0,353;0,083;0,07;0,717;0,423;0,167
2100477;Alto Alegre do Pindaré;8.338;21.330;83,00%;0,31;0,369;0,084;0,041;0,708;0,465;0,19
