cod. ibge;ano;pib;impostos_liquidos;va;va_agropecuaria;va_industria;va_servicos;va_adespss
4315149;2021;213812;27511;186301;16630;106418;42038;21215
1100296;2021;213556;8703;204853;106980;13056;33184;51633
4309951;2021;213521;9386;204135;128142;5443;42146;28404
4320677;2021;213480;10830;202650;76341;9103;53608;63598
2929602;2021;213356;11966;201391;25156;20184;67955;88096
2405603;2021;213316;16959;196357;20915;21275;65104;89064
3530409;2021;213295;15280;198015;76241;44075;51177;26523
2511400;2021;213192;14919;198273;11646;9089;76386;101152
2610400;2021;213190;17312;195878;16420;7707;66876;104874
3533205;2021;213155;17305;195850;26718;82276;54787;32069
3108800;2021;213084;2475;210609;16830;146911;17311;29558
4214508;2021;212919;13159;199760;72003;27789;63236;36733
2922052;2021;212902;14096;198806;12366;107225;27630;51584
4107702;2021;212876;13052;199824;102353;7989;61019;28464
3555356;2021;212639;8958;203681;37290;79175;50542;36674
4110003;2021;212524;14809;197715;77656;18294;69057;32708
3506904;2021;212434;13807;198628;33004;24085;84053;57486
2929107;2021;212344;11955;200389;48029;11055;65007;76298
4120705;2021;212134;23473;188661;40237;16950;88583;42892
3145455;2021;211931;6009;205923;139219;6945;23324;36435
1300631;2021;211871;7212;204659;26467;10112;38303;129777
4219606;2021;211868;8067;203802;103298;31514;43516;25473
3542701;2021;211752;13804;197947;65327;31186;57625;43809
2203305;2021;211639;27010;184629;3406;44991;58949;77283
3547908;2021;211522;11830;199692;81214;7657;69244;41577
2702009;2021;211484;3776;207708;110949;4126;32965;59668
5108204;2021;211360;8882;202478;131665;9363;33143;28308
2913457;2021;211145;10532;200612;70920;35111;36409;58171
5221197;2021;211068;23327;187741;10509;65150;70067;42016
2402501;2021;210950;7554;203397;12107;74994;47259;69037
4315107;2021;210925;16850;194075;37565;9214;85068;62228
2803401;2021;210654;12166;198488;58778;7709;50237;81764
3506201;2021;210460;19985;190475;36684;77655;53273;22864
3113008;2021;210428;11014;199414;22223;22105;51349;103737
1506302;2021;210371;8367;202004;36073;9154;46037;110740
2507705;2021;210329;17843;192486;10124;12233;69120;101010
2922250;2021;210290;18304;191986;52696;40417;47399;51474
1101104;2021;210031;10894;199137;65085;14646;39846;79560
2600203;2021;209815;19293;190522;17293;7426;71102;94701
2613800;2021;209528;13252;196276;45370;7005;53267;90634
3519808;2021;209289;7099;202190;30442;46755;74124;50869
2504405;2021;209010;12441;196568;16115;10145;67079;103229
3500402;2021;209004;15155;193849;25096;25551;106279;36923
